2010,42,4,Arkansas,0.3757,0.3750,0.3526,2216171,0.0374,16204,26995,21106,53752,43963,2079611,781333,779957,,,

2010,71,5,California,0.4411,0.4502,0.3584,28167234,0.1798,165062,0,105133,217629,486207,22884597,10095485,10302324,,,

2010,62,6,Colorado,0.5068,,0.4651,3843619,0.0749,22815,0,11014,28322,71854,3527270,1787730,,,,

2010,1,7,Connecticut,0.4596,,0.4169,2765843,0.0854,19321,0,2894,20768,45799,2508961,1153115,,,,

2010,11,8,Delaware,0.4724,0.4778,0.4411,696940,0.0500,6598,4448,560,11326,12658,650777,307402,310946,,,

2010,55,9,District of Columbia,0.2885,0.2954,0.2618,506765,0.0925,0,0,0,0,6916,459870,132656,135846,,,

2010,43,10,Florida,0.4185,0.4223,0.3628,14916066,0.1149,104306,165760,4093,272113,451907,12930623,5411106,5460573,,,

2010,44,11,Georgia,0.3993,0.4061,0.3550,7255919,0.0757,56432,185286,25091,254264,141001,6452100,2576161,2620146,,,

2010,82,12,Hawaii,0.3989,0.4019,0.3600,1062593,0.0919,5912,0,0,5912,20090,958994,382563,385385,,,

2010,63,13,Idaho,0.4214,0.4275,0.3945,1147210,0.0438,7431,13721,3957,23131,26779,1073811,452535,459079,,,

2010,21,14,Illinois,0.4248,0.4320,0.3831,9735944,0.0932,48418,0,0,48418,200530,8779902,3729989,3792770,,,

2010,22,15,Indiana,0.3711,0.3799,0.3563,4896656,0.0342,28028,0,0,28028,89605,4701219,1744481,1786213,,,

2010,31,16,Iowa,0.5001,0.5079,0.4794,2328262,0.0329,9455,8862,3197,19916,43108,2231747,1116063,1133429,,,

2010,32,17,Kansas,0.4172,,0.3924,2137815,0.0525,9051,3704,5063,15287,42495,2010386,838790,,,,

2010,51,18,Kentucky,0.4243,0.4416,0.4071,3332204,0.0246,20544,25688,14628,53546,58518,3196785,1356468,1411695,,,

